,Unnamed: 0,prefix,input_text,target_text
26,26,webNLG,substantial experience | Experience_skills | using that data to answer interesting && substantial experience | Experience_skills | presenting && substantial experience | Experience_skills | looking at complex sets of data,"You have substantial experience in any area of data analysis…looking at complex sets of data, and using that data to answer interesting, and often non-intuitive questions and presenting your findings in an engaging way"
27,27,webNLG,"Excellent | knowledge_skills | working with , understanding , analyzing data && Experience | Experience_skills | working with , understanding , analyzing data","Experience in data driven analysis - Excellent at working with, understanding, analyzing data"
28,28,webNLG,A desire | knowledge_skills | help customers make the “ Internets ” better, A desire to help customers make the “Internets” better
29,29,webNLG,Understanding | knowledge_skills | HTML && Understanding | knowledge_skills | networking && Understanding | knowledge_skills | JS && Understanding | knowledge_skills | Cloud && Understanding | knowledge_skills | CSS && Understanding | knowledge_skills | web technologies && Understanding | knowledge_skills | Content Delivery Networks," Understanding of web technologies including HTML, JS, CSS, networking, Content Delivery Networks, Cloud etc"
30,30,webNLG,Gain experience and | Experience_skills | BI && G | knowledge_skills | BI && G | knowledge_skills | the && Gain experience and | Experience_skills | the Head of,Gain experience and knowledge with the Head of BI
31,31,webNLG,Experience | Experience_skills | a technical / administrative role && Experience | Experience_skills | a data / analytic role,Experience in either a data / analytic role and / or a technical / administrative role
32,32,webNLG,"Good knowledge | knowledge_skills | Data Analysis ( pivot tables , v - lookups , basic formulae ) && Good knowledge | knowledge_skills | Excel","Good knowledge of Excel and Data Analysis (pivot tables, v-lookups, basic formulae)"
33,33,webNLG,some | Experience_skills | HR information systems is essential,Workday knowledge is preferred but some experience with HR information systems is essential
34,34,webNLG,Demonstrated experience | Experience_skills | working with confidential and sensitive information,Demonstrated experience of working with confidential and sensitive information
35,35,webNLG,Advanced knowledge | knowledge_skills | Excel,Advanced knowledge of Excel
36,36,webNLG,Experience | Experience_skills | producing reports including statistical graphs and charts,Experience of producing reports including statistical graphs and charts
37,37,webNLG,proven ability | knowledge_skills | present to and engage senior business leaders,Expert communication skills with a proven ability to present to and engage senior business leaders
38,38,webNLG,Ability | knowledge_skills | lead on projects && Ability | knowledge_skills | manage multiple stakeholders,Ability to lead on projects and manage multiple stakeholders
39,39,webNLG,"Experience | Experience_skills | prioritising , maintaining and delivering a pipeline of competing projects","Experience prioritising, maintaining and delivering a pipeline of competing projects"
40,40,webNLG,Ability | knowledge_skills | work well under pressure,Ability to work well under pressure
41,41,webNLG,Previous experience | Experience_skills | the Real Estate sector && Previous experience | Experience_skills | working in && Previous experience | Experience_areas | the Real Estate sector,Previous experience working in the Real Estate sector
42,42,webNLG,Experience | Experience_skills | working on live deals and acquisitions,Experience working on live deals and acquisitions
43,43,webNLG,Ability | knowledge_skills | communicate with different levels of internal and external stakeholders,Ability to communicate with different levels of internal and external stakeholders
44,44,webNLG,"Experience | Experience_skills | working with difficult or sparse datasets && Experience | Experience_skills | aggregating key performance indicators for both tracking , measuring and reporting","Experience working with difficult or sparse datasets, including evidence of aggregating key performance indicators for both tracking, measuring and reporting"
45,45,webNLG,Proven experience | Experience_skills | data analysis techniques && fluency | Experience_skills | Python & SQL preferred && fluency | Experience_skills | data analysis techniques && Proven experience | Experience_skills | Python & SQL preferred,Proven experience and fluency with data analysis techniques in Python & SQL preferred
46,46,webNLG,Exposure | Experience_skills | ESG datasets && Exposure | knowledge_skills | ESG && Exposure | Experience_skills | sustainability && Exposure | Experience_skills | reporting,Exposure to sustainability and ESG datasets and reporting
47,47,webNLG,Previous experience | Experience_skills | creating technical solutions for operation and data related tasks / processes && Previous experience | Experience_skills | reporting and && Previous experience | Experience_skills | visualisation,"Previous experience with reporting and visualisation, preferably using python, and creating technical solutions for operation and data related tasks/processes"
48,48,webNLG,Proficient user | knowledge_skills | development of macros && Proficient user | knowledge_skills | MS Excel,Proficient user of MS Excel including development of macros
49,49,webNLG,Experience | Experience_skills | relational databases,Experience with relational databases
50,50,webNLG,Knowledge | knowledge_areas | geoscience data management software && Knowledge | knowledge_skills | geoscience data management software && Knowledge | knowledge_areas | HoleBase SI && Knowledge | knowledge_skills | HoleBase SI,Knowledge of geoscience data management software preferably HoleBase SI
51,51,webNLG,Knowledge | knowledge_skills | coding,Knowledge of coding
52,52,webNLG,Knowledge | knowledge_areas | AGS data format && Knowledge | knowledge_skills | AGS data format,Knowledge of AGS data format
53,53,webNLG,Experience | Experience_skills | SQL && Experience | Experience_skills | reporting tools && Experience | Experience_skills | transformation && Experience | Experience_skills | data comparison,Experience of SQL and reporting tools including data comparison and transformation
54,54,webNLG,Experience | Experience_skills | technical project delivery e,Experience of technical project delivery e
55,55,webNLG,Knowledge | knowledge_skills | learn new platforms && ##ptitude | knowledge_skills | learn new platforms && Knowledge | knowledge_areas | modern data management tools && Knowledge | knowledge_skills | modern data management tools && a | knowledge_skills | learn new platforms,Knowledge of modern data management tools and aptitude to learn new platforms
56,56,webNLG,Experience | Experience_skills | using RDBMS and file - based data sources,Experience of using RDBMS and file-based data sources
57,57,webNLG,"Ability | knowledge_skills | communicate complex ideas clearly and concisely , verbally and in writing to individuals of all levels , including clients","Ability to communicate complex ideas clearly and concisely, verbally and in writing to individuals of all levels, including clients"
58,58,webNLG,Evidence | Experience_skills | work with logic - based tools && Evidence | knowledge_skills | mapping software && Evidence | knowledge_skills | work with logic - based tools && ability | knowledge_skills | mapping software && Evidence | Experience_skills | mapping software,"Evidence of ability to work with logic-based tools, such as mapping software or programming experience"
59,59,webNLG,Experience | Experience_skills | quality assurance && Experience | Experience_skills | delivering evaluation reports && Experience | Experience_skills | other related practices && Experience | Experience_skills | data collation,"Experience in data collation, quality assurance and other related practices in delivering evaluation reports and outcomes"
60,60,webNLG,Experience | Experience_skills | delivering and managing data driven projects within a consultancy,Experience delivering and managing data driven projects within a consultancy
61,61,webNLG,Some experience | Experience_skills | programming –,Some experience with programming – e
62,62,webNLG,Familiarity | knowledge_skills | electronic health data && Familiarity | knowledge_skills | digital health && Familiarity | knowledge_skills | medicines,"Familiarity with digital health, medicines or electronic health data"
63,63,webNLG,Experience | Experience_skills | working with the full MicroStrategy lifecycle,Experience working with the full MicroStrategy lifecycle
64,64,webNLG,Strong background | Experience_skills | data and report design,Strong background in data and report design
65,65,webNLG,Proficient | knowledge_skills | SQL - writing queries && Proficient | knowledge_skills | store procedures,Proficient in SQL-writing queries and store procedures
66,66,webNLG,Experience | Experience_areas | agile methodologies,Experience in agile methodologies
67,67,webNLG,Experience | Experience_skills | working with large data sets,Experience working with large data sets
68,68,webNLG,Good knowledge | knowledge_skills | using SQL in particular && Good knowledge | knowledge_skills | Data Analytics," Good knowledge of Data Analytics, using SQL in particular"
69,69,webNLG,Understanding | knowledge_skills | acting as an employment agency for this vacancy, Understanding Recruitment is acting as an employment agency for this vacancy
70,70,webNLG,Ability | knowledge_skills | work across cultures in a virtual environment, Ability to work across cultures in a virtual environment
71,71,webNLG,Ability | knowledge_skills | deliver under tight deadlines && Ability | knowledge_skills | act with a sense of urgency, Ability to act with a sense of urgency and deliver under tight deadlines
72,72,webNLG,Experience | Experience_areas | publishing && Experience | Experience_skills | publishing && Experience | Experience_skills | intranets / portals && Experience | Experience_areas | electronic && Experience | Experience_skills | electronic knowledge repositories && Experience | Experience_skills | collaborative tools," Experience with electronic knowledge repositories, publishing and/or content management practices, intranets/portals, collaborative tools are all assets to this position"
73,73,webNLG,Experience | Experience_skills | working in a global professional services organization, Experience working in a global professional services organization
74,74,webNLG,Ability | knowledge_skills | articulate appropriately in writing && the ability | knowledge_skills | articulate appropriately in writing && the ability | knowledge_skills | clearly document a process,Ability to articulate appropriately in writing is crucial as is the ability to clearly document a process
75,75,webNLG,Ability | knowledge_skills | break down requirements into components and && Ability | knowledge_skills | then assess these,Ability to break down requirements into components and then assess these
76,76,webNLG,Experience | Experience_skills | working in IT and operational environments,Experience of working in IT and operational environments
77,77,webNLG,Expert knowledge | knowledge_areas | existing data collection processes and technologies && Expert knowledge | knowledge_skills | existing data collection processes and technologies,Expert knowledge of existing data collection processes and technologies
78,78,webNLG,Understanding | knowledge_areas | legal && Understanding | knowledge_areas | the various legal frameworks under which the Bank collects data && Understanding | knowledge_skills | any wider issues that may affect a && Understanding | knowledge_skills | legal and,Understanding of the various legal frameworks under which the Bank collects data as well as any wider issues that may affect a collection such as legal and commercial constraints imposed on the usage and protection of data being collected
79,79,webNLG,Experience | Experience_skills | the varying impacts of && Experience | Experience_skills | a collection on the various stake holders involved in the provision of data to the Bank,"Experience of the varying impacts of a collection on the various stake holders involved in the provision of data to the Bank, namely the data consumer, the data provider, software houses that service the data providers and third party system providers to the Bank"
80,80,webNLG,Proficiency | knowledge_skills | SQL is a must, Proficiency in SQL is a must
81,81,webNLG,Basic knowledge | knowledge_skills | reporting software ( ideally Tableau ), Basic knowledge of reporting software (ideally Tableau) required
82,82,webNLG,Ability | knowledge_skills | think strategically using broad suite of data in an integrated way,Ability to think strategically using broad suite of data in an integrated way
83,83,webNLG,Ability | knowledge_skills | explore user needs && Ability | knowledge_skills | make recommendations on data collection and interpretation to support evidence led decision making,Ability to explore user needs and make recommendations on data collection and interpretation to support evidence led decision making
84,84,webNLG,Ability | knowledge_skills | present data using different approaches best suited to the audience,Ability to present data using different approaches best suited to the audience
85,85,webNLG,Good knowledge | knowledge_skills | Excel && Good knowledge | knowledge_skills | Word && Good knowledge | knowledge_skills | PowerPoint," Good knowledge of Word, Excel, PowerPoint and be proficient in using internet research tools"
86,86,webNLG,Ability | knowledge_skills | undertake detailed financial / commercial analysis for inclusion in expert reports, Ability to undertake detailed financial/commercial analysis for inclusion in expert reports
87,87,webNLG,"ability | knowledge_skills | communicate effectively with patients , visitors and healthcare staff && the | knowledge_skills | communicate effectively with patients , visitors and healthcare staff","Passionate about patient care, with the ability to communicate effectively with patients, visitors and healthcare staff"
88,88,webNLG,Proven experience | Experience_skills | link datasets && Proven experience | Experience_skills | SQL solutions,Proven experience with SQL solutions and link datasets
89,89,webNLG,Ability | knowledge_skills | synthesise and explain data and storyboard with clarity and simplicity,Ability to synthesise and explain data and storyboard with clarity and simplicity
90,90,webNLG,Ability | knowledge_skills | test / challenge current thinking && Ability | knowledge_skills | establish supporting insights for change options,Ability to test / challenge current thinking and establish supporting insights for change options
91,91,webNLG,Experience | Experience_skills | Skills Required,Experience and Skills Required
92,92,webNLG,3 years of experience | Experience_skills | working as a Data Analyst in a fast - paced and dynamic business setting,3 years of experience preferably working as a Data Analyst in a fast-paced and dynamic business setting
93,93,webNLG,Ability | knowledge_skills | collaborate with people across the company,Ability to collaborate with people across the company
94,94,webNLG,experience | Experience_skills | using statistical packages for analyzing datasets,Knowledge of statistics and experience using statistical packages for analyzing datasets
95,95,webNLG,Developer background | Experience_skills | AWS knowledge,Developer background with AWS knowledge
96,96,webNLG,Experience | Experience_skills | in - product reporting for SaaS products,Experience with in-product reporting for SaaS products
97,97,webNLG,Review profitability | knowledge_skills | major existing customers, Review profitability of major existing customers
98,98,webNLG,A desire | knowledge_skills | learn new data skills," A desire to learn new data skills and quickly familiarise themselves with the business, processes and data sources"
99,99,webNLG,An ability | knowledge_skills | present findings simply and clearly, An ability to present findings simply and clearly
100,100,webNLG,An ability | knowledge_skills | complete work efficiently and to agreed timescales, An ability to complete work efficiently and to agreed timescales
101,101,webNLG,Understanding importance | knowledge_skills | end - user centricity,Understanding importance of end-user centricity
102,102,webNLG,Understanding | knowledge_skills | others,Understanding others
103,103,webNLG,Approaching | knowledge_skills | customers that may require assistance if you are on the shop floor, Approaching customers that may require assistance if you are on the shop floor
104,104,webNLG,Confident approach | knowledge_skills | maximising sales opportunities,Confident approach towards maximising sales opportunities
105,105,webNLG,Thorough knowledge | knowledge_skills | HR / Payroll processes,Thorough knowledge of HR/Payroll processes
106,106,webNLG,Payroll systems knowledge | knowledge_skills | SAP && Payroll systems knowledge | knowledge_skills | ADP,Payroll systems knowledge of SAP or ADP
107,107,webNLG,Ability | knowledge_skills | produce and maintain production ready code, Ability to produce and maintain production ready code
108,108,webNLG,A passion and ability | knowledge_skills | learn new software and technologies quickly,A passion and ability to learn new software and technologies quickly
109,109,webNLG,Good working knowledge | knowledge_skills | Microsoft Office software && Good working knowledge | knowledge_skills | email systems,Good working knowledge of email systems and Microsoft Office software
110,110,webNLG,Ability | knowledge_skills | work well in a team environment,Ability to work well in a team environment
111,111,webNLG,Experience | Experience_skills | PowerBI && knowledge | knowledge_skills | other data presentation and analysis software && Experience | Experience_skills | using excel && knowledge | knowledge_skills | PowerBI && Experience | Experience_skills | other data presentation and analysis software," Experience using excel is essential, whilst knowledge of PowerBI or other data presentation and analysis software is desirable"
112,112,webNLG,Experience | Experience_skills | Skills, Experience and Skills
113,113,webNLG,Ability | knowledge_skills | work to agreed deadlines && Ability | knowledge_skills | undertake specific training to meet business requirements,Ability to undertake specific training to meet business requirements and work to agreed deadlines
114,114,webNLG,Knowledge and understanding | knowledge_areas | data management and analysis && Knowledge and understanding | knowledge_areas | the theory and principles of, Knowledge and understanding of the theory and principles of data management and analysis
115,115,webNLG,Experience | Experience_skills | collating and interpreting complex information,Experience of collating and interpreting complex information
116,116,webNLG,Experience | Experience_skills | undertaking complex statistical analysis and detailing findings to a wide range of audiences,Experience of undertaking complex statistical analysis and detailing findings to a wide range of audiences
117,117,webNLG,Experience | Experience_skills | dealing with people && confidence | knowledge_skills | dealing with people,Experience and confidence in dealing with people and the ability to establish credibility at all levels of the organisation
118,118,webNLG,Knowledge | knowledge_skills | data analysis programmes ( e && Knowledge | knowledge_skills | specific management systems && Knowledge | knowledge_skills | specific databases,"Knowledge of specific management systems, specific databases or data analysis programmes (e"
119,119,webNLG,Good working knowledge | knowledge_skills | services for children and young people,Good working knowledge of services for children and young people - Desirable
120,120,webNLG,Someone | knowledge_skills | learn && ability | knowledge_skills | learn,Someone with ability to learn and adapt
121,121,webNLG,Ability | knowledge_skills | follow through with set objectives && Ability | knowledge_skills | analyze and resolve project - related issues,Ability to analyze and resolve project-related issues and follow through with set objectives
122,122,webNLG,"Ability | knowledge_skills | deal with different stakeholder groups to elicit business requirements , procedures , and processes","Ability to deal with different stakeholder groups to elicit business requirements, procedures, and processes"
123,123,webNLG,"Ability | knowledge_skills | be flexible && Ability | knowledge_skills | follow tight deadlines && Ability | knowledge_skills | organize , and prioritize work && Ability | knowledge_skills | work in a high - paced environment","Ability to work in a high-paced environment, be flexible, follow tight deadlines, organize, and prioritize work"
124,124,webNLG,"Proficient | knowledge_skills | MS Office ( Word , Excel , PowerPoint )","Proficient with MS Office (Word, Excel, PowerPoint)"
125,125,webNLG,Proficient | knowledge_skills | SQL,Proficient with SQL
126,126,webNLG,Familiar | knowledge_skills | analyse raw data && Familiar | knowledge_skills | multiple techniques,Familiar with multiple techniques to analyse raw data and turn it into business insights
127,127,webNLG,Ability | knowledge_skills | be flexible,Ability to be flexible and adapt to urgent business requirements
128,128,webNLG,Experience | Experience_skills | owning relationships with external companies,Experience in owning relationships with external companies
129,129,webNLG,Experience | Experience_skills | Power BI,Experience with Power BI
130,130,webNLG,Solid understanding | knowledge_areas | the application of analytics to,Solid understanding of the application of analytics to customer behaviour
131,131,webNLG,Experience | Experience_skills | building Visualisation tools Qlik desirable,Experience building Visualisation tools Qlik desirable
132,132,webNLG,good knowledge | knowledge_skills | processes required for sample handling including report generation && good knowledge | knowledge_skills | Watson LIMS && good knowledge | knowledge_areas | processes required,Having good knowledge of Watson LIMS and processes required for sample handling including report generation
133,133,webNLG,Maintaining | knowledge_skills | Microsoft Excel function && good knowledge | knowledge_skills | Microsoft Excel function,Maintaining good knowledge of Microsoft Excel function
134,134,webNLG,an ability | knowledge_skills | perform tasks in a meticulous manner with close attention to detail,Focus on quality with an ability to perform tasks in a meticulous manner with close attention to detail
135,135,webNLG,Previous experience | Experience_skills | Excel is essential,Previous experience using Excel is essential
136,136,webNLG,Experience | Experience_skills | a GXP accredited laboratory && Experience | Experience_skills | advantageous,Experience in a GXP accredited laboratory is advantageous
137,137,webNLG,Experience | Experience_skills | delivering or supporting projects and programmes in the consumer industries space, Experience in delivering or supporting projects and programmes in the consumer industries space
138,138,webNLG,"Experience | Experience_areas | the organisational models , processes and technologies used to execute buying , merchandising & fulfilment processes"," Experience of the organisational models, processes and technologies used to execute buying, merchandising & fulfilment processes"
139,139,webNLG,Experience | Experience_skills | project management, Experience in project management
140,140,webNLG,"Experience | Experience_skills | conducting data intensive analysis and visualisation , distilling key insights"," Experience in conducting data intensive analysis and visualisation, distilling key insights"
141,141,webNLG,ability | knowledge_skills | think creatively to solve client issues, Have the ability to think creatively to solve client issues
142,142,webNLG,An understanding | knowledge_areas | how to mitigate risk && An understanding | knowledge_skills | risk && An understanding | knowledge_skills | how to mitigate risk and protect the firm ' s reputation," An understanding of risk, how to mitigate risk and protect the firm's reputation"
143,143,webNLG,Understanding | knowledge_skills | all company policies and procedures, Understanding of and compliance with all company policies and procedures
144,144,webNLG,Previous experience | knowledge_skills | similar role && Previous experience | Experience_skills | similar role && Previous experience | Experience_skills | a, Previous experience in a similar role an advantage
145,145,webNLG,Demonstrable knowledge and application | knowledge_skills | stock control && Demonstrable knowledge and application | knowledge_skills | audit procedures && Demonstrable knowledge and application | knowledge_skills | counts," Demonstrable knowledge and application of stock control including counts, stock rotation, discrepancy investigation, and audit procedures"
146,146,webNLG,Experience | Experience_skills | a customer facing role, Experience of a customer facing role
147,147,webNLG,Experience | Experience_areas | the medical industry, Experience within the medical industry an advantage
148,148,webNLG,"Experience | Experience_skills | working in a wine led restaurant or bar ,"," Experience working in a wine led restaurant or bar, not necessarily natural wine as training is provided"
149,149,webNLG,Understanding | knowledge_skills | incorporating it into the implementation of Process Bionics strategies && Understanding | knowledge_skills | stakeholder and change management,Understanding the importance of stakeholder and change management and incorporating it into the implementation of Process Bionics strategies
150,150,webNLG,Knowledge | knowledge_skills | new data analysis technologies ( e,Knowledge of new data analysis technologies (e
151,151,webNLG,experience | Experience_skills | any other Process Mining tool,"Strong understanding of the Process Mining Framework and experience using either Celonis, Signavio, UiPath Process Mining or any other Process Mining tool"
152,152,webNLG,"Knowledge | knowledge_skills | ERP systems ( SAP R / 3 , SAP S / 4 , SAP HANA , Oracle , PeopleSoft )","Knowledge of ERP systems (SAP R/3, SAP S/4, SAP HANA, Oracle, PeopleSoft) is an advantage"
153,153,webNLG,Experience | Experience_skills | working with Amazon Web Services,Experience working with Amazon Web Services required
154,154,webNLG,Scor | knowledge_skills | Reference Model && Scor | knowledge_areas | Reference Model knowledge,Scor Reference Model knowledge preferred
155,155,webNLG,Bachelor ’ s degree from | degree_in | computer science && Bachelor ’ s degree from | degree_in | an accredited university or college,Bachelor’s degree from an accredited university or college in computer science
156,156,webNLG,Work experience | Experience_skills | a data analyst && Work experience | Experience_skills | a related field,Work experience as a data analyst or in a related field
157,157,webNLG,Ability | knowledge_skills | work with stakeholders to understand current data - set and assess potential risks,Ability to work with stakeholders to understand current data-set and assess potential risks
158,158,webNLG,Ability | knowledge_skills | provide software solution recommendations && Ability | knowledge_skills | analyse existing tools and databases,Ability to analyse existing tools and databases and provide software solution recommendations
159,159,webNLG,"Ability | knowledge_skills | translate business requirements into non - technical , lay terms","Ability to translate business requirements into non-technical, lay terms"
160,160,webNLG,Demonstrated experience | Experience_skills | handling large data sets and relational databases,Demonstrated experience in handling large data sets and relational databases
161,161,webNLG,Understanding | knowledge_skills | addressing and metadata standards,Understanding of addressing and metadata standards
162,162,webNLG,Prior experience | Experience_skills | a Business Analyst within multi - disciplinary Agile development teams, Prior experience as a Business Analyst within multi-disciplinary Agile development teams
163,163,webNLG,"familiar | knowledge_skills | monoli && familiar | knowledge_skills | designing , documenting and delivering integration projects"," Experience as a technical business analyst familiar with monolithic, layered and microservice architectures and designing, documenting and delivering integration projects including designing systems and APIs"
164,164,webNLG,Experience | Experience_skills | large scale complex IT Transformation programmes, Experience on large scale complex IT Transformation programmes
165,165,webNLG,Ability | knowledge_skills | articulate thoughts and ideas in a clear and composed manner to instil confidence in team and clients, Ability to articulate thoughts and ideas in a clear and composed manner to instil confidence in team and clients
166,166,webNLG,Experience | Experience_skills | translating user needs into user stories, Experience translating user needs into user stories and acceptance criteria
167,167,webNLG,Knowledge | knowledge_skills | the full Software development lifecycle, Knowledge of the full Software development lifecycle
168,168,webNLG,Understanding | knowledge_skills | emerging and innovative technologies && Understanding | knowledge_areas | how to shape strategy and delivery in order to leverage those technologies && Understanding | knowledge_areas | emerging," Understanding of emerging and innovative technologies, and how to shape strategy and delivery in order to leverage those technologies"
169,169,webNLG,Project Management experience | Experience_skills | delivering large scale complex IT Transformation programmes, Project Management experience in delivering large scale complex IT Transformation programmes
170,170,webNLG,Experience | Experience_skills | working in and leading team activities within Agile frameworks," Experience working in and leading team activities within Agile frameworks; Scrum, Kanban etc"
171,171,webNLG,Experience | Experience_skills | working with and creating data architectures,Experience working with and creating data architectures
172,172,webNLG,"Experience | Experience_skills | using statistical computer languages SQL ( expert level ) , Python etc","Experience using statistical computer languages SQL (expert level), Python etc"
173,173,webNLG,Knowledge | knowledge_areas | Six Sigma && Knowledge | knowledge_areas | process improvement methodologies preferred && Knowledge | knowledge_areas | Lean Process Management,"Knowledge of process improvement methodologies preferred, such as Six Sigma, Lean Process Management etc"
174,174,webNLG,"Knowledge | knowledge_areas | variety of machine learning techniques ( clustering , artificial neural networks , etc && Knowledge | knowledge_areas | a","Knowledge of a variety of machine learning techniques (clustering, artificial neural networks, etc"
175,175,webNLG,Experience | Experience_skills | Data Visualisation && Experience | Experience_skills | Power Bi reporting,Experience in Data Visualisation and Power Bi reporting is essential
176,176,webNLG,Proven track record | Experience_skills | delivery using formal analytics tools and techniques,Proven track record of delivery using formal analytics tools and techniques
177,177,webNLG,Experience | Experience_skills | Power Apps,Experience with Power Apps is highly desirable
178,178,webNLG,Expertise | knowledge_skills | Machine learning && Expertise | knowledge_skills | Data Wrangling && Expertise | knowledge_skills | Data Mining && Expertise | knowledge_skills | Data Storytelling,"Expertise in Data Wrangling, Data Storytelling, Machine learning and Data Mining"
179,179,webNLG,Experience | Experience_skills | communicating complex data to analytical and non - analytical audiences,Experience of communicating complex data to analytical and non-analytical audiences
180,180,webNLG,Experience | Experience_skills | learn data modelling,Experience in or desire to learn data modelling
181,181,webNLG,an | knowledge_skills | its interdependencies && Understanding | knowledge_skills | complex airport operation && an | knowledge_skills | complex airport operation,Understanding of the complex airport operation with an appreciation for its interdependencies
182,182,webNLG,Strong familiarity | knowledge_areas | methodologies && Strong familiarity | knowledge_areas | data && Strong familiarity | knowledge_areas | best practices && Strong familiarity | knowledge_skills | data management software tools," Strong familiarity with data management software tools, methodologies, and best practices"
183,183,webNLG,"Demonstrated ability | knowledge_skills | conceptualize , manage , and prioritize data from multiple products"," Demonstrated ability to conceptualize, manage, and prioritize data from multiple products"
184,184,webNLG,Experience | Experience_skills | SAAS solutions for talent management is preferred, Experience in SAAS solutions for talent management is preferred
185,185,webNLG,Ability | knowledge_skills | covert technical subjects and jargon into easily understood text, Ability to covert technical subjects and jargon into easily understood text
186,186,webNLG,Ability | knowledge_skills | maintain composure and customer focus while troubleshooting and solving technical issues,Ability to maintain composure and customer focus while troubleshooting and solving technical issues
187,187,webNLG,Ability | knowledge_skills | adhere to a schedule of customer appointments,Ability to adhere to a schedule of customer appointments
188,188,webNLG,Understanding | knowledge_areas | data visualisation principles, Understanding of data visualisation principles
189,189,webNLG,An ability | knowledge_skills | work effectively within the team && An ability | knowledge_skills | being, An ability to work effectively within the team as well as being able to work on own initiative
190,190,webNLG,Experience | Experience_skills | working in a professional services organisation, Experience of working in a professional services organisation is preferred but not essential
191,191,webNLG,Previous experience | Experience_skills | working as a data analyst in a corporate function, Previous experience working as a data analyst in a corporate function
192,192,webNLG,Knowledge | knowledge_skills | working with data models and reporting packages ( ideally Power BI ), Knowledge and/or certifications demonstrating capability working with data models and reporting packages (ideally Power BI)
193,193,webNLG,Ability | knowledge_skills | analyse large datasets, Ability to analyse large datasets
194,194,webNLG,Ability | knowledge_skills | design and develop comprehensive reports, Ability to design and develop comprehensive reports
