,Unnamed: 0,prefix,input_text,target_text
7140,7140,webNLG,Experience | Experience_skills | SQL Data Warehousing ( Synapse ) && Experience | Experience_skills | Microsoft Dataverse && Experience | Experience_skills | Data Lake && Experience | Experience_skills | the Azure data platform && Experience | Experience_skills | Data Factory," Experience of the Azure data platform, especially Data Factory, Data Lake and SQL Data Warehousing (Synapse) and the Microsoft Dataverse"
7141,7141,webNLG,Experience | Experience_skills | working within data governance and compliance frameworks, Experience working within data governance and compliance frameworks
7142,7142,webNLG,"Experience | Experience_skills | creating logical data models , preferably within the financial services sector"," Experience creating logical data models, preferably within the financial services sector"
7143,7143,webNLG,Experience | Experience_skills | using SQL Server and Azure SQL, Experience using SQL Server and Azure SQL
7144,7144,webNLG,Experience | Experience_skills | providing MI reporting,Experience of providing MI reporting
7145,7145,webNLG,experience | Experience_skills | SQL Language,Strong Knowledge and experience in SQL Language
7146,7146,webNLG,Ability | knowledge_skills | interpret and analyse data,Ability to interpret and analyse data
7147,7147,webNLG,Good knowledge | knowledge_skills | Health & Safety, Good knowledge of Health & Safety
7148,7148,webNLG,Strong technical background | Experience_skills | computers and networks && Strong technical background | Experience_skills | programming skills," Strong technical background in computers and networks, and programming skills"
7149,7149,webNLG,Experience | Experience_skills | dealing with cyber security incidents and associated response measures, Experience of dealing with cyber security incidents and associated response measures
7150,7150,webNLG,Experience | Experience_skills | being part of an incident response team && Experience | Experience_skills | being able to evidence your personal contribution to the team," Experience of being part of an incident response team, either holding a formal role, or being able to evidence your personal contribution to the team"
7151,7151,webNLG,"Understanding | knowledge_areas | a wide range of information security and IT methodologies , principles , technologies and techniques"," Understanding of a wide range of information security and IT methodologies, principles, technologies and techniques"
7152,7152,webNLG,"Hands on experience | Experience_skills | developing front end , middle tier or back end software"," Hands on experience developing front end, middle tier or back end software"
7153,7153,webNLG,"Experience | Experience_skills | building applications for the cloud such as Azure , AWS or Google"," Experience building applications for the cloud such as Azure, AWS or Google"
7154,7154,webNLG,Experience | Experience_skills | other serverless application delivery platforms && Experience | Experience_skills | Kubernetes && Experience | Experience_skills | Docker," Experience with Docker, Kubernetes or other serverless application delivery platforms"
7155,7155,webNLG,Experience | Experience_skills | Kafka && Experience | Experience_skills | messaging && Experience | Experience_skills | Service Bus && Experience | Experience_skills | MQ," Experience with messaging such as Service Bus, MQ or Kafka"
7156,7156,webNLG,Experience | Experience_skills | Data Analytics && Experience | Experience_skills | Business Intelligence, Experience with Data Analytics and Business Intelligence
7157,7157,webNLG,have | knowledge_skills | communicating across all platforms and && have | knowledge_skills | face to face && knowledge | knowledge_skills | social media && demonstrating | knowledge_skills | face to face && knowledge | knowledge_skills | face to face && demonstrating | knowledge_skills | phone and e - mail && have | knowledge_skills | customer service contact channels && demonstrating | knowledge_skills | customer service contact channels && have | knowledge_skills | social media && confidence | knowledge_skills | communicating across all platforms and && confidence | knowledge_skills | social media && have | knowledge_skills | phone and e - mail && confidence | knowledge_skills | customer service contact channels && knowledge | knowledge_skills | customer service contact channels && knowledge | knowledge_skills | communicating across all platforms and && knowledge | knowledge_skills | phone and e - mail && confidence | knowledge_skills | phone and e - mail && confidence | knowledge_skills | face to face && demonstrating | knowledge_skills | social media && demonstrating | knowledge_skills | communicating across all platforms and," You should have knowledge of customer service contact channels such as face to face, social media, phone and e-mail whilst demonstrating confidence at communicating across all platforms and levels"
7158,7158,webNLG,Proficient | knowledge_skills | Microsoft Office && Proficient | knowledge_skills | MS Excel, Proficient in Microsoft Office with an emphasis on MS Excel
7159,7159,webNLG,Ability | knowledge_skills | meet deadlines while dealing with multiple priorities, Ability to meet deadlines while dealing with multiple priorities
7160,7160,webNLG,Strong experience | Experience_skills | data visualization tools ( specifically Tableau and Power BI ) && Strong experience | Experience_skills | proficient,"Strong experience in data visualization tools (specifically Tableau and Power BI) with proficient Excel skills (including pivot tables, lookups and IF statements)"
7161,7161,webNLG,Previous experience | Experience_areas | Financial Services industry,Previous experience in the Financial Services industry is preferable
7162,7162,webNLG,That | knowledge_skills | product knowledge is very important too, That means product knowledge is very important too
7163,7163,webNLG,Degree level or higher | degree_in | a STEM subject, Degree level or higher in a STEM subject
7164,7164,webNLG,Developing knowledge | knowledge_areas | various products the company works with && Dev | knowledge_skills | various products the company works with,Developing knowledge of various products the company works with
7165,7165,webNLG,Developing knowledge | knowledge_areas | various products the company works with && Dev | knowledge_skills | various products the company works with,Developing knowledge of various products the company works with
7166,7166,webNLG,ability | knowledge_skills | undertake analysis to understand root causes of systemic data issues,Data cleanse with ability to undertake analysis to understand root causes of systemic data issues
7167,7167,webNLG,Gain | knowledge_skills | our Administration database && an understanding | knowledge_skills | arrange periodic refresh of data held in non - Production environments && an understanding | knowledge_skills | our Administration database,Gain an understanding of our Administration database and arrange periodic refresh of data held in non-Production environments
7168,7168,webNLG,Demonstrable experience | Experience_skills | effective prioritisation && Demonstrable experience | Experience_skills | task execution in a high - pressure environment && ability | knowledge_skills | react to changes promptly and effectively,Demonstrable experience of effective prioritisation and task execution in a high-pressure environment and the ability to react to changes promptly and effectively
7169,7169,webNLG,good experience | Experience_skills | Data Management && Knowledge | knowledge_skills | Master,Knowledge of Master Data and good experience in Data Management
7170,7170,webNLG,Experience | Experience_skills | driving process efficiency and data quality / standards && Experience | Experience_skills | working in a data stewardship role,Experience of working in a data stewardship role and driving process efficiency and data quality / standards
7171,7171,webNLG,Ability | knowledge_skills | identify and fix errors && Ability | knowledge_skills | manage large sets of data,"Ability to manage large sets of data, and identify and fix errors"
7172,7172,webNLG,Ability | knowledge_skills | quickly manipulate data && Ability | knowledge_skills | prepare reports as needed in an environment with large data sets,"Ability to quickly manipulate data, and prepare reports as needed in an environment with large data sets"
7173,7173,webNLG,Experience | Experience_skills | MAP && able | knowledge_skills | recognise key metrics required to be met,Experience with MAP and Product attribution and able to recognise key metrics required to be met
7174,7174,webNLG,Ability | knowledge_skills | work both independently and as part of a team, Ability to work both independently and as part of a team
7175,7175,webNLG,Ability | knowledge_skills | work efficiently under pressure && Ability | knowledge_skills | meet deadlines and targets, Ability to work efficiently under pressure and to meet deadlines and targets
7176,7176,webNLG,"Proficiency | knowledge_skills | Microsoft Office Applications ( Excel , Access and PowerPoint )"," Proficiency in Microsoft Office Applications (Excel, Access and PowerPoint)"
7177,7177,webNLG,Experience | Experience_skills | coordinating projects, Experience of coordinating projects
7178,7178,webNLG,The ability | knowledge_skills | cultivate a professional and productive network, The ability to cultivate a professional and productive network
7179,7179,webNLG,An understanding | knowledge_areas | financial targets && An understanding | knowledge_skills | financial targets, An understanding of financial targets
7180,7180,webNLG,availability | Experience_skills | variable - hours contracts && availability | Experience_skills | guaranteed - hours contracts,availability of guaranteed-hours contracts and variable-hours contracts
7181,7181,webNLG,the ability | knowledge_skills | understand key reward concepts,Good knowledge of and the ability to understand key reward concepts
7182,7182,webNLG,Strong understanding | knowledge_areas | key statutory elements,Strong understanding of key statutory elements e
7183,7183,webNLG,Good knowledge | knowledge_skills | HR && the | knowledge_skills | generate and interpret data and report && ability | knowledge_skills | generate and interpret data and report,Good knowledge of HR & Payroll systems including the ability to generate and interpret data and report
7184,7184,webNLG,A working knowledge | knowledge_skills | reporting && A working knowledge | knowledge_skills | systems implementation,A working knowledge of systems implementation and reporting
7185,7185,webNLG,"Ability | knowledge_skills | own and shape processes , making them sustainable and strategic"," Ability to own and shape processes, making them sustainable and strategic"
7186,7186,webNLG,Good understanding | knowledge_areas | risk and control frameworks," Good understanding of risk and control frameworks, preferably from a Financial Services background"
7187,7187,webNLG,Previous experience | Experience_skills | data analysis && Previous experience | Experience_areas | data analysis,Previous experience of data analysis
7188,7188,webNLG,Ability | knowledge_skills | prioritise when faced with multiple tasks,Ability to prioritise when faced with multiple tasks
7189,7189,webNLG,Ability | knowledge_skills | write clear and concise communications,Ability to write clear and concise communications
7190,7190,webNLG,Proficiency | knowledge_skills | Tableau,Proficiency in Tableau
7191,7191,webNLG,Experience | Experience_skills | Machine Learning packages,Experience with Machine Learning packages
7192,7192,webNLG,Some experience | Experience_skills | AWS Redshift && Some experience | Experience_skills | Google Big query && Some experience | Experience_skills | cloud data warehouse technologies,Some experience in cloud data warehouse technologies like Google Big query or AWS Redshift
7193,7193,webNLG,Experience | Experience_skills | reporting and data visualization skills using Tableau,Experience with reporting and data visualization skills using Tableau
7194,7194,webNLG,Proficiency | knowledge_skills | Microsoft Excel,Proficiency in Microsoft Excel
7195,7195,webNLG,Ability | knowledge_skills | troubleshoot data && Ability | knowledge_skills | QA,Ability to QA and troubleshoot data
7196,7196,webNLG,Ability | knowledge_skills | work in high - pressure situations && Ability | knowledge_skills | set and meet deadlines,Ability to set and meet deadlines and work in high-pressure situations
7197,7197,webNLG,Proven experience | Experience_skills | developing creative solutions to problems, Proven experience developing creative solutions to problems;
7198,7198,webNLG,Indepth industry experience | Experience_skills | strong product && Indepth industry experience | Experience_skills | front to back && Indepth industry experience | Experience_skills | technical knowledge," Indepth industry experience with strong product, front to back and technical knowledge"
7199,7199,webNLG,Excellent working knowledge | knowledge_skills | Transaction && Excellent working knowledge | knowledge_skills | Trade reporting regulations, Excellent working knowledge of Transaction and Trade reporting regulations
7200,7200,webNLG,Ability | knowledge_skills | interpret and summarize key issues to senior management and other stakeholders, Ability to interpret and summarize key issues to senior management and other stakeholders;
7201,7201,webNLG,Ability | knowledge_skills | consistently deliver work of a high standard whilst under pressure, Ability to consistently deliver work of a high standard whilst under pressure;
7202,7202,webNLG,Flexible approach | knowledge_skills | task management, Flexible approach to task management;
7203,7203,webNLG,Ability | knowledge_skills | prioritize effectively, Ability to prioritize effectively;
7204,7204,webNLG,Ability | knowledge_skills | build and maintain effective networks and relationships, Ability to build and maintain effective networks and relationships;
7205,7205,webNLG,Proven experience | Experience_skills | working on various complex databases," Proven experience on working on various complex databases, including data engineering, analysis and modelling"
7206,7206,webNLG,Working experience | Experience_skills | Hadoop ecosystem && Working experience | Experience_skills | Big data platform, Working experience in Big data platform and Hadoop ecosystem is plus
7207,7207,webNLG,experience | Experience_skills | machine learning tasks && experience | Experience_skills | dimensionality reduction && strong knowledge | knowledge_skills | dimensionality reduction && experience | Experience_skills | regression && experience | Experience_skills | recommendation && strong knowledge | knowledge_skills | anomaly detection && experience | Experience_skills | forecasting && strong knowledge | knowledge_skills | recommendation && experience | Experience_skills | clustering && experience | Experience_skills | classification && experience | Experience_skills | anomaly detection && strong knowledge | knowledge_skills | forecasting && experience | Experience_skills | statistical && strong knowledge | knowledge_skills | clustering && strong knowledge | knowledge_skills | regression && strong knowledge | knowledge_skills | classification && strong knowledge | knowledge_skills | statistical," Intermediate to strong knowledge and experience of statistical and data mining and machine learning tasks such as classification, regression, clustering, anomaly detection, recommendation, dimensionality reduction, forecasting, and etc"
7208,7208,webNLG,able | knowledge_skills | apply different libraries && Programming experience | Experience_skills | apply different libraries && Programming experience | Experience_skills | Python," Programming experience with Python, able to apply different libraries including NumPy, Pandas, SciPy, Scikit-learn, PyCaret, Tensorflow, Keras, etc"
7209,7209,webNLG,Working knowledge | knowledge_skills | SQL && Working knowledge | knowledge_skills | BI tools && Working knowledge | knowledge_skills | ETL," Working knowledge of SQL, ETL and BI tools"
7210,7210,webNLG,Expertise | knowledge_skills | Machine Learning models && Expertise | knowledge_areas | Data Science techniques && Expertise | knowledge_skills | Data Science && Expertise | knowledge_areas | Machine Learning models, Expertise in Data Science techniques and Machine Learning models
7211,7211,webNLG,Experience | Experience_skills | Big Data ( Hadoop ecosystem ), Experience in Big Data (Hadoop ecosystem) desirable
7212,7212,webNLG,Ability | knowledge_skills | multi - tasking and prioritizing tasks && Ability | knowledge_skills | work well within a diverse global team while && Ability | knowledge_skills | pick up new tasks quickly," Ability to pick up new tasks quickly, work well within a diverse global team while multi-tasking and prioritizing tasks"
7213,7213,webNLG,Experience | Experience_skills | leading Team Leaders / Seniors / Staff to achieve targets across a multi - product portfolio and metrics,Experience of leading Team Leaders/Seniors/Staff to achieve targets across a multi-product portfolio and metrics
7214,7214,webNLG,"Experience | Experience_skills | driving sales results across a number of teams through commission plans , incentives , recognition and performance management","Experience of driving sales results across a number of teams through commission plans, incentives, recognition and performance management"
7215,7215,webNLG,Ability | knowledge_skills | communicate effectively with all levels of stakeholders,Ability to communicate effectively with all levels of stakeholders
7216,7216,webNLG,"Proven track record | Experience_skills | how to lead , recruit and motivate large teams to deliver stretching targets && Proven track record | Experience_skills | compliantly","Proven track record of how to lead, recruit and motivate large teams to deliver stretching targets, compliantly"
7217,7217,webNLG,Excellent understanding | knowledge_areas | Contact Centre metrics && Excellent understanding | knowledge_skills | Contact Centre metric && Excellent understanding | knowledge_areas | processes,Excellent understanding of Contact Centre metrics and processes
7218,7218,webNLG,Demonstrable business analysis experience | Experience_skills | a mid / large size company,Demonstrable business analysis experience in a mid/large size company with a proven record of successful outcomes
7219,7219,webNLG,Advanced working knowledge | knowledge_skills | SQL && familiarity | knowledge_areas | data && Advanced working knowledge | knowledge_skills | Excel," Advanced working knowledge of Excel, SQL and familiarity with data visualization tools and methods"
7220,7220,webNLG,Experience | Experience_skills | using data and metrics," Experience using data and metrics to draw business insights, make business recommendation and influence stakeholders"
7221,7221,webNLG,Bachelor ’ s degree | degree_in | Information Technology && Bachelor ’ s degree | degree_in | Accounting && Bachelor ’ s degree | degree_in | Finance && Bachelor ’ s degree | degree_in | related field && Bachelor ’ s degree | degree_in | Business,"Bachelor’s degree in Business, Finance, Accounting, Information Technology or related field"
7222,7222,webNLG,Previous experience | Experience_skills | process management re - engineering e, Previous experience with process management re-engineering e
7223,7223,webNLG,Demonstrated ability | knowledge_skills | work independently while dealing with high levels of ambiguity, Demonstrated ability to work independently while dealing with high levels of ambiguity
7224,7224,webNLG,General understanding | knowledge_skills | Accounts Receivable ( AR ) && General understanding | knowledge_skills | Order - to - Cash ( O2C ) && General understanding | knowledge_skills | Procure - to - pay ( P2P ) && General understanding | knowledge_skills | Accounts Payable ( AP )," General understanding of Accounts Payable (AP), Accounts Receivable (AR), Procure-to- pay (P2P), or Order-to-Cash (O2C)"
7225,7225,webNLG,Familiar | knowledge_skills | Employee Lifecycle && Familiar | knowledge_skills | the HR Operations,Familiar with the HR Operations and Employee Lifecycle
7226,7226,webNLG,Familiar | knowledge_areas | Agile ways of working / user stories && Familiar | knowledge_areas | the principles,Familiar with the principles of Agile ways of working/ user stories
7227,7227,webNLG,Experience | knowledge_skills | familiar && Experience | knowledge_skills | contributing to projects && Experience | Experience_skills | familiarization with project management tools && Experience | Experience_skills | contributing to projects,Experience of contributing to projects and familiarization with project management tools such as Jira/ confluence
7228,7228,webNLG,Ability | knowledge_skills | influence stakeholders / teams across different function,Ability to influence stakeholders/teams across different function
7229,7229,webNLG,Ability | knowledge_skills | work independently and solve problems independently,Ability to work independently and solve problems independently
7230,7230,webNLG,Experience | Experience_skills | working with databases,Experience working with databases
7231,7231,webNLG,previous experience | Experience_skills | working within a regulated environment or in sales,Ideally have previous experience working within a regulated environment or in sales and be able to demonstrate excellent customer service
7232,7232,webNLG,Vast experience | Experience_skills | Python programming, Vast experience in Python programming
7233,7233,webNLG,good understanding | knowledge_skills | relational and hierarchical databases ( SQL Server ), A good understanding of relational and hierarchical databases (SQL Server)
7234,7234,webNLG,Experience | Experience_skills | JavaScript && Experience | Experience_skills | CSS && Experience | Experience_skills | HTML5 && Experience | Experience_skills | Tableau," Experience in Tableau, HTML5, CSS and JavaScript"
7235,7235,webNLG,Substantial experience | Experience_skills | an IT Security role,Substantial experience in an IT Security role
7236,7236,webNLG,"Experience | Experience_skills | working directly with security technologies , including those for anti - virus protection , vulnerability scans , patch management and DLP","Experience working directly with security technologies, including those for anti-virus protection, vulnerability scans, patch management and DLP"
7237,7237,webNLG,Experience | Experience_skills | completing application vulnerability scans,Experience completing application vulnerability scans
7238,7238,webNLG,Strong knowledge | knowledge_areas | latest defence techniques && Strong knowledge | knowledge_skills | latest defence techniques && Strong knowledge | knowledge_skills | the current threat landscape,Strong knowledge of the current threat landscape and latest defence techniques
7239,7239,webNLG,Strong understanding | knowledge_skills | the importance of common security technologies && Strong understanding | knowledge_areas | the importance of common security technologies,Strong understanding of the importance of common security technologies
7240,7240,webNLG,Understanding | knowledge_skills | PCI - DSS requirements,Understanding of PCI-DSS requirements
7241,7241,webNLG,"Good understanding | knowledge_skills | common , high - risk vulnerabilities","Good understanding of common, high-risk vulnerabilities"
7242,7242,webNLG,"Good knowledge | knowledge_skills | securing servers , workstations , network infrastructure , applications && Good knowledge | knowledge_skills | security && Good knowledge | knowledge_skills | architecture","Good knowledge of security from the perspective of securing servers, workstations, network infrastructure, applications, architecture and access management"
7243,7243,webNLG,"Experience | Experience_skills | supporting business transformation activity that balances exceptional delivery for users , with the needs of operations and the business","Experience of supporting business transformation activity that balances exceptional delivery for users, with the needs of operations and the business"
7244,7244,webNLG,ability | knowledge_skills | translate data and insights into improved processes and workflows,"Structured approach and analytical thinking, with the ability to translate data and insights into improved processes and workflows"
7245,7245,webNLG,Experience | Experience_areas | building financial activity - based cost && Experience | Experience_skills | building && Experience | Experience_areas | data analysis,"Experience of data analysis and modeling, with a focus on building financial activity-based cost/benefit models"
7246,7246,webNLG,A solid track record | Experience_skills | delivering performance improvements,"A solid track record of delivering performance improvements, efficiencies and enhanced user experience"
7247,7247,webNLG,Excellent knowledge | knowledge_skills | Excel && experience | Experience_skills | working with databases,Excellent knowledge of Excel and experience of working with databases
7248,7248,webNLG,"Experience | Experience_skills | developing services to Government Digital Service Standards , && Experience | Experience_skills | using agile","Experience of developing services to Government Digital Service Standards, using agile"
7249,7249,webNLG,"Experience | Experience_skills | working on large scale transformation programmes , ideally within a central government or regulatory context","Experience of working on large scale transformation programmes, ideally within a central government or regulatory context"
7250,7250,webNLG,Experience | Experience_skills | working with data structures && understanding | knowledge_areas | data architecture && understanding | knowledge_areas | data mapping,Experience of working with data structures and an understanding of data mapping and data architecture
7251,7251,webNLG,Established experience | Experience_areas | licensing," Established experience within a licensing, contract or business administration role"
7252,7252,webNLG,Established experience | Experience_skills | working within a Consumer Products or Retail environment preferred, Established experience of working within a Consumer Products or Retail environment preferred
7253,7253,webNLG,Working knowledge | knowledge_skills | licensing contracts && Working knowledge | knowledge_areas | licensing contracts, Working knowledge of licensing contracts
7254,7254,webNLG,Working knowledge | knowledge_skills | enterprise systems, Working knowledge of enterprise systems i
7255,7255,webNLG,Very strong experience | Experience_skills | SQL Server,Very strong experience with SQL Server
7256,7256,webNLG,Very strong experience | Experience_skills | MS Excel,Very strong experience with MS Excel
7257,7257,webNLG,Experience | Experience_skills | working with Python,Experience working with Python
7258,7258,webNLG,Ana | Experience_skills | ##lytical capability,Analytical capability
7259,7259,webNLG,Ability | knowledge_skills | identify analytical tools most suitable to the research,Ability to identify analytical tools most suitable to the research
7260,7260,webNLG,Ability | knowledge_skills | communicate complex information clearly,Ability to communicate complex information clearly
7261,7261,webNLG,Ability | knowledge_skills | work both independently and as a team,Ability to work both independently and as a team
7262,7262,webNLG,Ability | knowledge_skills | use resources effectively && Ability | knowledge_skills | assess resource requirements,Ability to assess resource requirements and use resources effectively
7263,7263,webNLG,Understanding | knowledge_skills | contribute to broader management / administration processes,Understanding of and ability to contribute to broader management/administration processes
7264,7264,webNLG,Knowledge | knowledge_areas | the protected characteristics of the Equality Act 2010 && Knowledge | knowledge_areas | how to actively && Knowledge | knowledge_skills | the protected characteristics of the Equality Act 2010,"Knowledge of the protected characteristics of the Equality Act 2010, and how to actively ensure in day to day activity in own area that those with protected characteristics are treated equally and fairly"
7265,7265,webNLG,Ability | knowledge_skills | work with minimal direct supervision,Ability to work with minimal direct supervision
7266,7266,webNLG,Eagerness and ability | knowledge_skills | learn new software and tools,Eagerness and ability to learn new software and tools
7267,7267,webNLG,Experience | Experience_skills | conducting A / B tests, Experience conducting A/B tests
7268,7268,webNLG,The ability | knowledge_skills | develop models, The ability to develop models is beneficial
7269,7269,webNLG,Demonstrates experience | Experience_skills | documentation && Demonstrates experience | Experience_areas | documentation && Demonstrates experience | Experience_skills | business requirements gathering && Demonstrates experience | Experience_areas | business requirements gathering,Demonstrates experience in business requirements gathering and documentation
7270,7270,webNLG,Ability | knowledge_skills | work independently,Ability to work independently
7271,7271,webNLG,Basic experience | knowledge_areas | Tableau && knowledge | knowledge_areas | Tableau && Basic experience | knowledge_areas | Alteryx && knowledge | knowledge_skills | Alteryx && knowledge | knowledge_areas | Alteryx && knowledge | knowledge_skills | Tableau && knowledge | knowledge_areas | data analytics / intelligence platform && Basic experience | knowledge_areas | data analytics / intelligence platform,"Basic experience and knowledge of data analytics/intelligence platform like Alteryx, Tableau, etc"
7272,7272,webNLG,A proven track record | Experience_areas | business analysis,A proven track record of business analysis experience
7273,7273,webNLG,Good understanding | knowledge_skills | the Project Lifecycle,Good understanding of the Project Lifecycle
7274,7274,webNLG,Experience | Experience_areas | Agile methodology,Experience of Agile methodology
7275,7275,webNLG,Ability | knowledge_skills | work as a team player and multi - task in a fast - paced environment,Ability to work as a team player and multi-task in a fast-paced environment
7276,7276,webNLG,Flexible approach | knowledge_skills | task management,Flexible approach to task management
7277,7277,webNLG,Familiarity | knowledge_skills | R && Familiarity | knowledge_skills | Python, Familiarity with Python or R is ideal
7278,7278,webNLG,Familiarity | knowledge_skills | visualization tools, Familiarity with visualization tools are ideal (Power BI and Tableau)
7279,7279,webNLG,Ability | knowledge_skills | communicate analytics to commercial stakeholders, Ability to communicate analytics to commercial stakeholders
7280,7280,webNLG,Ensuring | knowledge_skills | traceability mapping of business requirements through the project lifecycle, Ensuring traceability mapping of business requirements through the project lifecycle
7281,7281,webNLG,Experience | Experience_skills | working with Agile SDLC methodologies && Experience | Experience_areas | working with Agile SDLC methodologies, Experience of working with Agile SDLC methodologies
7282,7282,webNLG,Experience | Experience_skills | leading offshore development teams, Experience of leading offshore development teams
7283,7283,webNLG,Experience | Experience_skills | ITSM e && Experience | Experience_skills | ServiceNow products other, Experience of ServiceNow products other than ITSM e
7284,7284,webNLG,"Experience | Experience_skills | project management and agile tools ( ITBM , MS Project , JIRA , Confluence , SharePoint )"," Experience of project management and agile tools (ITBM, MS Project, JIRA, Confluence, SharePoint)"
7285,7285,webNLG,Ability | knowledge_skills | work in a fast - paced environment with rapidly changing priorities on multiple projects and initiatives, Ability to work in a fast-paced environment with rapidly changing priorities on multiple projects and initiatives
7286,7286,webNLG,Passionate | knowledge_skills | managing your own development by learning continuously from experience && Passionate | knowledge_skills | areas of expertise," Passionate about areas of expertise, managing your own development by learning continuously from experience and seeking out development opportunities"
7287,7287,webNLG,The ability | knowledge_skills | build deep and lasting relationships with clients and team members to enhance the reputation of KPMG as an advisor of choice, The ability to build deep and lasting relationships with clients and team members to enhance the reputation of KPMG as an advisor of choice
7288,7288,webNLG,Experience | Experience_skills | writing stored procedures & functions,Experience writing stored procedures & functions
7289,7289,webNLG,An understanding | knowledge_skills | R && An understanding | knowledge_skills | Python, An understanding of Python or R
7290,7290,webNLG,ability | knowledge_skills | use qualitative user insights and quantitative data to back up assumptions and develop business case,Demonstrate the ability to use qualitative user insights and quantitative data to back up assumptions and develop business case
7291,7291,webNLG,Experience | Experience_skills | deconstructing existing products and reconstructing them for the future,Experience in deconstructing existing products and reconstructing them for the future
7292,7292,webNLG,ability | knowledge_skills | clearly communicate product needs and intent,Developing ability to clearly communicate product needs and intent
7293,7293,webNLG,"Experience | Experience_skills | developing solutions for wealth , asset management , trading or similar","Experience in developing solutions for wealth, asset management, trading or similar"
7294,7294,webNLG,ability | knowledge_skills | handle multiple priorities / deadlines without compromising quality,Demonstrates ability to handle multiple priorities / deadlines without compromising quality
7295,7295,webNLG,"ability | knowledge_skills | incorporate user needs , business needs , and technical constraints / opportunities into the product development process","Developing ability to incorporate user needs, business needs, and technical constraints/opportunities into the product development process"
7296,7296,webNLG,Experience | Experience_skills | outsourced shared service centres, Experience with outsourced shared service centres is desirable
7297,7297,webNLG,Substantial experience | Experience_skills | an Insight role ( or postgraduate equivalent ),Substantial experience in an Insight role (or postgraduate equivalent)
7298,7298,webNLG,Proficiency | knowledge_skills | Power Bi && Proficiency | knowledge_skills | Data visualisation tool && Proficiency | knowledge_skills | Tableau,"Proficiency in Data visualisation tool such as Tableau, Power Bi etc"
7299,7299,webNLG,A background | Experience_skills | other subscription - based environments && A background | Experience_skills | Telecommunication, A background in Telecommunication or other subscription-based environments highly beneficial
7300,7300,webNLG,"Experience | Experience_skills | working with a data visualisation tools such as Tableau , PowerBI , Qlik , Looker , etc"," Experience working with a data visualisation tools such as Tableau, PowerBI, Qlik, Looker, etc"
7301,7301,webNLG,Good understanding | knowledge_skills | option pricing && Good understanding | knowledge_areas | associated numerical methods ( Monte Carlo ) && Good understanding | knowledge_skills | associated numerical methods ( Monte Carlo ) && Good understanding | knowledge_areas | option pricing theory,Good understanding of option pricing theory and associated numerical methods (Monte Carlo)
7302,7302,webNLG,Basic knowledge | knowledge_areas | numerical optimization methods,Basic knowledge of numerical optimization methods
7303,7303,webNLG,Ability | knowledge_skills | communicate complex issues to non - specialist audiences,Ability to communicate complex issues to non-specialist audiences
